"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the [[mesmerizing]] performances of the leads keep the film grounded and [[keep]] the audience riveted . ","the [[passionate]] performances of the leads keep the film grounded and [[get]] the audience riveted . ",0.0002314448356628418,0.00988227128982544,1,1,1,21,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.9852325320243835,0.9852325320243835,1,1,0,1,"Skipped"
"... the film [[suffers]] from a lack of humor ( something needed to balance out the violence ) ... ","... the film [[suffering]] from a lack of humor ( something needed to balance out the violence ) ... ",0.034030795097351074,0.8593425750732422,0,1,0,43,"Successful"
"we root for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , [[except]] perhaps it 's an emotion closer to pity . ",0.20344316959381104,0.9017748236656189,1,0,1,29,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.9616243243217468,0.9616243243217468,1,1,0,1,"Skipped"
"a [[gorgeous]] , [[high-spirited]] musical from india that exquisitely blends music , dance , song , and [[high]] drama . ","a [[grand]] , [[brilliant]] musical from india that exquisitely blends music , dance , song , and [[live]] drama . ",0.0005177855491638184,0.03375059366226196,1,1,1,75,"Failed"
"the emotions are raw and will strike a nerve with [[anyone]] who 's [[ever]] had family trauma . ","the emotions are raw and will strike a nerve with [[anybody]] who 's [[obviously]] had family trauma . ",0.0006048679351806641,0.08978259563446045,1,1,1,40,"Failed"
"audrey tatou has a knack for picking roles that magnify her outrageous [[charm]] , and in this literate french comedy , she 's as [[morning-glory]] [[exuberant]] as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous [[antics]] , and in this literate french comedy , she 's as [[much]] [[clad]] as she was in amélie . ",0.000409543514251709,0.23035264015197754,1,1,1,48,"Failed"
"... the [[movie]] is just a plain old monster . ","... the [[creature]] is just a plain old monster . ",0.08351624011993408,0.9068635106086731,0,1,0,55,"Successful"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.9204156398773193,0.9204156398773193,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.9997329711914062,0.9997329711914062,1,1,0,1,"Skipped"
"the iditarod lasts for days - this just felt like it did . ","the iditarod lasts for days - this just felt like it did . ",0.9965413808822632,0.9965413808822632,1,1,0,1,"Skipped"
"holden caulfield did it [[better]] . ","holden caulfield did it [[beautifully]] . ",0.13901472091674805,0.9947924613952637,0,1,0,25,"Successful"
"a delectable and [[intriguing]] thriller filled with surprises , read my lips is an original . ","a delectable and [[deadly]] thriller filled with surprises , read my lips is an original . ",0.00013458728790283203,0.9884684085845947,1,0,1,47,"Successful"
"seldom has a [[movie]] so closely matched the [[spirit]] of a man and his work . ","seldom has a [[film]] so closely matched the [[mind]] of a man and his work . ",0.004365503787994385,0.01371455192565918,1,1,1,10,"Failed"
"nicks , [[seemingly]] uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , [[somewhat]] uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0.025876283645629883,0.559540867805481,0,1,0,59,"Successful"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to [[span]] a 125-year divide . ","the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to [[form]] a 125-year divide . ",0.0031847357749938965,0.9864746332168579,0,1,0,37,"Successful"
"it 's an [[offbeat]] treat that pokes fun at the democratic exercise while [[also]] examining its significance for those who [[take]] part . ","it 's an [[epic]] treat that pokes fun at the democratic exercise while [[even]] examining its significance for those who [[were]] part . ",7.11679458618164e-05,0.0034433603286743164,1,1,1,35,"Failed"
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter movie , a cut-and-paste job . ",0.9012654423713684,0.9012654423713684,1,1,0,1,"Skipped"
"i had to look away - this was god awful . ","i had to look away - this was god awful . ",0.8694299459457397,0.8694299459457397,1,1,0,1,"Skipped"
"[[thanks]] to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","[[played]] to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",0.004325807094573975,0.7845299243927002,1,0,1,45,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.9925633668899536,0.9925633668899536,1,1,0,1,"Skipped"
"a gorgeous , [[witty]] , seductive movie . ","a gorgeous , [[violent]] , seductive movie . ",3.600120544433594e-05,0.994272768497467,1,0,1,46,"Successful"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.9983431100845337,0.9983431100845337,1,1,0,1,"Skipped"
"it does n't believe in itself , it has no sense of humor ... it 's just [[plain]] bored . ","it does n't believe in itself , it has no sense of humor ... it 's just [[way]] bored . ",0.05455130338668823,0.5910353660583496,0,1,0,23,"Successful"
"a sequence of [[ridiculous]] shoot - 'em - up scenes . ","a sequence of [[intense]] shoot - 'em - up scenes . ",0.008282721042633057,0.9964255094528198,0,1,0,42,"Successful"
"the weight of the piece , the [[unerring]] professionalism of the chilly production , and the fascination [[embedded]] in the lurid topic [[prove]] recommendation enough . ","the weight of the piece , the [[apparent]] professionalism of the chilly production , and the fascination [[embodied]] in the lurid topic [[proved]] recommendation enough . ",5.555152893066406e-05,0.08959037065505981,1,1,1,65,"Failed"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0.9849616885185242,0.9849616885185242,1,1,0,1,"Skipped"
"as surreal as a dream and as [[detailed]] as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a dream and as [[precise]] as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",0.00013947486877441406,0.008254945278167725,1,1,1,15,"Failed"
"escaping the studio , piccoli is warmly [[affecting]] and so is this adroitly [[minimalist]] [[movie]] . ","escaping the studio , piccoli is warmly [[dressed]] and so is this adroitly [[personal]] [[effect]] . ",0.004831910133361816,0.8813604712486267,1,0,1,139,"Successful"
"there 's ... tremendous energy from the cast , a [[sense]] of playfulness and [[excitement]] that seems appropriate . ","there 's ... tremendous energy from the cast , a [[feeling]] of playfulness and [[wonder]] that seems appropriate . ",5.1975250244140625e-05,0.006325840950012207,1,1,1,15,"Failed"
"this [[illuminating]] documentary [[transcends]] our preconceived vision of the holy land and its inhabitants , [[revealing]] the human complexities beneath . ","this [[entire]] documentary [[demonstrates]] our preconceived vision of the holy land and its inhabitants , [[considering]] the human complexities beneath . ",0.0020471811294555664,0.1631542444229126,1,1,1,60,"Failed"
"the [[subtle]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ","the [[apparent]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ",0.12193185091018677,0.9640811681747437,1,0,1,13,"Successful"
"[[holm]] ... embodies the character with an effortlessly regal [[charisma]] . ","[[taylor]] ... embodies the character with an effortlessly regal [[authority]] . ",0.0008580684661865234,0.9019420742988586,1,0,1,75,"Successful"
"the title not only describes its main characters , but the lazy people [[behind]] the camera as well . ","the title not only describes its main characters , but the lazy people [[during]] the camera as well . ",0.3652467131614685,0.5591914653778076,0,1,0,35,"Successful"
"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.5383537411689758,0.5383537411689758,1,1,0,1,"Skipped"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.9957454204559326,0.9957454204559326,1,1,0,1,"Skipped"
"a [[subtle]] and [[well-crafted]] ( for the most part ) chiller . ","a [[durable]] and [[clean]] ( for the most part ) chiller . ",8.83340835571289e-05,0.7946559190750122,1,0,1,91,"Successful"
"has a lot of the virtues of eastwood at his best . ","has a lot of the virtues of eastwood at his best . ",0.7755703330039978,0.7755703330039978,0,0,1,1,"Skipped"
"it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ","it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ",0.9441071152687073,0.9441071152687073,1,1,0,1,"Skipped"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.9427089691162109,0.9427089691162109,1,1,0,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a [[sensitive]] , extraordinarily well-acted drama . ","for the most part , director anne-sophie birot 's first feature is a [[serious]] , extraordinarily well-acted drama . ",0.0006083250045776367,0.0023131370544433594,1,1,1,13,"Failed"
"[[mr]]. tsai is a very original [[artist]] in his medium , and what time is it there ? ","[[m]]. tsai is a very original [[artists]] in his medium , and what time is it there ? ",0.00039190053939819336,0.00048673152923583984,1,1,1,9,"Failed"
"sade is an engaging look at the controversial eponymous and [[fiercely]] atheistic hero . ","sade is an engaging look at the controversial eponymous and [[seemingly]] atheistic hero . ",0.00905454158782959,0.8963215947151184,1,0,1,29,"Successful"
"so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.7498524188995361,0.7498524188995361,1,1,0,1,"Skipped"
"a [[tender]] , [[heartfelt]] [[family]] drama . ","a [[comforting]] , [[soothing]] [[school]] drama . ",1.52587890625e-05,0.9977940320968628,1,0,1,46,"Successful"
"... a [[hollow]] joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ","... a [[wry]] joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ",0.012511849403381348,0.5634186267852783,0,1,0,14,"Successful"
"the cold turkey would 've been a far better title . ","the cold turkey would 've been a far better title . ",0.7532106637954712,0.7532106637954712,1,1,0,1,"Skipped"
"manages to be both repulsively sadistic and mundane . ","manages to be both repulsively sadistic and mundane . ",0.996472954750061,0.996472954750061,1,1,0,1,"Skipped"
"it 's just [[disappointingly]] superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just [[incredibly]] superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0.32904577255249023,0.7667315602302551,0,1,0,35,"Successful"
"this is a story of two misfits who do n't [[stand]] a chance alone , but together they are [[magnificent]] . ","this is a story of two misfits who do n't [[pick]] a chance alone , but together they are [[great]] . ",0.00014126300811767578,0.9852873086929321,1,0,1,63,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0.9792249202728271,0.9792249202728271,1,1,0,1,"Skipped"
"the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ","the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ",0.7835107445716858,0.7835107445716858,0,0,1,1,"Skipped"
"on this tricky topic , tadpole is very much a [[step]] in the right direction , with its blend of frankness , civility and [[compassion]] . ","on this tricky topic , tadpole is very much a [[point]] in the right direction , with its blend of frankness , civility and [[kindness]] . ",0.0005935430526733398,0.02296435832977295,1,1,1,19,"Failed"
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0.9954641461372375,0.9954641461372375,1,1,0,1,"Skipped"
"you wonder why enough was n't just a music video rather than a [[full-length]] movie . ","you wonder why enough was n't just a music video rather than a [[super]] movie . ",0.09829145669937134,0.8713765740394592,0,1,0,22,"Successful"
"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humor , this is your ticket right here . ",0.655868411064148,0.655868411064148,0,0,1,1,"Skipped"
"a fast , funny , highly [[enjoyable]] movie . ","a fast , funny , highly [[violent]] movie . ",2.396106719970703e-05,0.9643643498420715,1,0,1,48,"Successful"
"[[good]] [[old-fashioned]] slash-and-hack is back ! ","[[stupid]] [[ole]] slash-and-hack is back ! ",0.00013113021850585938,0.7779540419578552,1,0,1,35,"Successful"
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.9973360896110535,0.9973360896110535,1,1,0,1,"Skipped"
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0.9168965816497803,0.9168965816497803,1,1,0,1,"Skipped"
"[[exquisitely]] [[nuanced]] in mood tics and dialogue , this chamber drama is [[superbly]] acted by the deeply [[appealing]] veteran bouquet and the chilling but quite human berling . ","[[highly]] [[dressed]] in mood tics and dialogue , this chamber drama is [[warmly]] acted by the deeply [[moving]] veteran bouquet and the chilling but quite human berling . ",0.0001169443130493164,0.2773709297180176,1,1,1,115,"Failed"
"uses [[high]] comedy to evoke [[surprising]] poignance . ","uses [[moral]] comedy to evoke [[literary]] poignance . ",0.0008698105812072754,0.9391407370567322,1,0,1,85,"Successful"
"[[one]] of creepiest , scariest movies to come along in a [[long]] , long [[time]] , easily rivaling blair witch or the others . ","[[four]] of creepiest , scariest movies to come along in a [[slow]] , long [[span]] , easily rivaling blair witch or the others . ",0.00033414363861083984,0.5966936945915222,1,0,1,72,"Successful"
"a string of rehashed sight gags based in [[insipid]] vulgarity . ","a string of rehashed sight gags based in [[modern]] vulgarity . ",0.0003566741943359375,0.5431510210037231,0,1,0,46,"Successful"
"among the year 's most [[intriguing]] explorations of alientation . ","among the year 's most [[difficult]] explorations of alientation . ",2.682209014892578e-05,0.5058280229568481,1,0,1,56,"Successful"
"the movie [[fails]] to live up to the sum of its parts . ","the movie [[manages]] to live up to the sum of its parts . ",0.0017824769020080566,0.9985694289207458,0,1,0,52,"Successful"
"the son 's room is a triumph of gentility that earns its moments of pathos . ","the son 's room is a triumph of gentility that earns its moments of pathos . ",0.9861596822738647,0.9861596822738647,0,0,1,1,"Skipped"
"there is nothing outstanding about this film , but it is good [[enough]] and will likely be appreciated most by sailors and [[folks]] who know their way around a submarine . ","there is nothing outstanding about this film , but it is good [[indeed]] and will likely be appreciated most by sailors and [[boys]] who know their way around a submarine . ",0.08636373281478882,0.5658445358276367,1,0,1,31,"Successful"
"this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ","this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ",0.7228622436523438,0.7228622436523438,1,1,0,1,"Skipped"
"the draw ( for `` big bad [[love]] '' ) is a solid performance by arliss howard . ","the draw ( for `` big bad [[boys]] '' ) is a solid performance by arliss howard . ",0.00726848840713501,0.9812613725662231,1,0,1,60,"Successful"
"green might [[want]] to hang [[onto]] that ski mask , as robbery may be the only way to pay for his next project . ","green might [[try]] to hang [[under]] that ski mask , as robbery may be the only way to pay for his next project . ",0.013367056846618652,0.5780618786811829,0,1,0,62,"Successful"
"it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ","it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ",0.9917254447937012,0.9917254447937012,1,1,0,1,"Skipped"
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",0.8500588536262512,0.8500588536262512,0,0,1,1,"Skipped"
"the band 's courage in the [[face]] of official repression is inspiring , [[especially]] for aging hippies ( this one included ) . ","the band 's courage in the [[facing]] of official repression is inspiring , [[mostly]] for aging hippies ( this one included ) . ",0.00014317035675048828,0.08142268657684326,1,1,1,35,"Failed"
"the movie [[achieves]] as great an impact by [[keeping]] these thoughts hidden as ... ( quills ) did by [[showing]] them . ","the movie [[intended]] as great an impact by [[showing]] these thoughts hidden as ... ( quills ) did by [[understanding]] them . ",0.004464268684387207,0.5287554860115051,1,0,1,76,"Successful"
"the film flat lines when it should peak and is more missed opportunity and trifle than [[dark]] , decadent truffle . ","the film flat lines when it should peak and is more missed opportunity and trifle than [[sensual]] , decadent truffle . ",0.32714319229125977,0.6967929005622864,0,1,0,40,"Successful"
"jaglom ... [[put]] ( s ) the audience in the privileged position of eavesdropping on his characters ","jaglom ... [[imagine]] ( s ) the audience in the privileged position of eavesdropping on his characters ",0.04767686128616333,0.9923353791236877,1,0,1,54,"Successful"
"fresnadillo 's dark and [[jolting]] images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ","fresnadillo 's dark and [[brooding]] images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ",0.31752878427505493,0.942558765411377,1,0,1,20,"Successful"
"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the plot 's a little crazy , but it held my interest from start to finish . ",0.9978804588317871,0.9978804588317871,0,0,1,1,"Skipped"
"it 's a scattershot affair , but when it [[hits]] its mark it 's brilliant . ","it 's a scattershot affair , but when it [[hitting]] its mark it 's brilliant . ",0.0014177560806274414,0.9421539902687073,1,0,1,54,"Successful"
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting [[real]] people . ","hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting [[ordinary]] people . ",0.03107672929763794,0.8308289647102356,1,0,1,18,"Successful"
"you wo n't like roger , but you will [[quickly]] recognize him . ","you wo n't like roger , but you will [[then]] recognize him . ",0.407478392124176,0.9993922114372253,0,1,0,44,"Successful"
"if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ","if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ",0.998940110206604,0.998940110206604,0,0,1,1,"Skipped"
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to [[simple]] melodrama . ","byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to [[mere]] melodrama . ",0.0007970929145812988,0.8204199075698853,1,0,1,22,"Successful"
"this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ","this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ",0.7168569564819336,0.7168569564819336,1,1,0,1,"Skipped"
"it 's difficult to [[imagine]] the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial [[role]] . ","it 's difficult to [[believe]] the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial [[roles]] . ",0.03685539960861206,0.9296155571937561,0,1,0,34,"Successful"
"no sophomore slump for director sam mendes , who segues from oscar [[winner]] to oscar-winning potential with a smooth sleight of hand . ","no sophomore slump for director sam mendes , who segues from oscar [[hopeful]] to oscar-winning potential with a smooth sleight of hand . ",0.036128878593444824,0.3789808750152588,1,1,1,41,"Failed"
"on the whole , the movie [[lacks]] wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the movie [[lacked]] wit , feeling and believability to compensate for its incessant coarseness and banality . ",0.008082449436187744,0.05348902940750122,0,0,0,15,"Failed"
"why make a documentary about these marginal historical figures ? ","why make a documentary about these marginal historical figures ? ",0.9986860752105713,0.9986860752105713,1,1,0,1,"Skipped"
"[[neither]] parker nor donovan is a [[typical]] romantic lead , but they [[bring]] a fresh , quirky charm to the formula . ","[[both]] parker nor donovan is a [[regular]] romantic lead , but they [[present]] a fresh , quirky charm to the formula . ",0.02047419548034668,0.21095901727676392,1,1,1,54,"Failed"
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0.6215745210647583,0.6215745210647583,1,1,0,1,"Skipped"
"does paint some [[memorable]] [[images]] ... , but makhmalbaf keeps her distance from the characters ","does paint some [[unusual]] [[situations]] ... , but makhmalbaf keeps her distance from the characters ",0.0004042983055114746,0.9979599714279175,1,0,1,102,"Successful"
"a gripping movie , played with performances that are all understated and [[touching]] . ","a gripping movie , played with performances that are all understated and [[forced]] . ",0.004608154296875,0.6024450659751892,1,0,1,21,"Successful"
"it 's [[one]] of those baseball pictures where the hero is stoic , the wife is patient , the [[kids]] are as cute as all [[get-out]] and the odds against success are long [[enough]] to intimidate , but short enough to [[make]] a dream seem [[possible]] . ","it 's [[two]] of those baseball pictures where the hero is stoic , the wife is patient , the [[children]] are as cute as all [[bs]] and the odds against success are long [[still]] to intimidate , but short enough to [[produce]] a dream seem [[ridiculous]] . ",0.021380603313446045,0.35276663303375244,1,1,1,100,"Failed"
"combining quick-cut editing and a blaring heavy metal much of the time , beck [[seems]] to be under the illusion that he 's shooting the latest system of a down video . ","combining quick-cut editing and a blaring heavy metal much of the time , beck [[proves]] to be under the illusion that he 's shooting the latest system of a down video . ",0.02010655403137207,0.6356130838394165,0,1,0,52,"Successful"
"the movie 's [[relatively]] simple plot and uncomplicated morality play well with the affable cast . ","the movie 's [[seemingly]] simple plot and uncomplicated morality play well with the affable cast . ",0.00024443864822387695,0.9544917941093445,1,0,1,50,"Successful"
"what the director [[ca]] n't do is make either of val kilmer 's two personas interesting or worth caring about . ","what the director [[way]] n't do is make either of val kilmer 's two personas interesting or worth caring about . ",0.4518716335296631,0.8287534713745117,0,1,0,46,"Successful"
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ","too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0.7677697539329529,0.7677697539329529,1,1,0,1,"Skipped"
"it 's [[great]] escapist fun that recreates a place and [[time]] that will never happen again . ","it 's [[little]] escapist fun that recreates a place and [[times]] that will never happen again . ",9.810924530029297e-05,0.0002822279930114746,1,1,1,18,"Failed"
"scores no points for originality , wit , or intelligence . ","scores no points for originality , wit , or intelligence . ",0.9953791499137878,0.9953791499137878,1,1,0,1,"Skipped"
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0.909275472164154,0.909275472164154,1,1,0,1,"Skipped"
"hilariously inept and ridiculous . ","hilariously inept and ridiculous . ",0.9962256550788879,0.9962256550788879,0,0,1,1,"Skipped"
"this movie is [[maddening]] . ","this movie is [[hits]] . ",0.12570834159851074,0.9999784231185913,0,1,0,20,"Successful"
"it haunts you , you ca n't forget it , you admire its conception and are [[able]] to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire its conception and are [[quick]] to resolve some of the confusions you had while watching it . ",0.0403476357460022,0.2040998935699463,1,1,1,17,"Failed"
"sam mendes has become valedictorian at the school for soft landings and easy ways out . ","sam mendes has become valedictorian at the school for soft landings and easy ways out . ",0.9572271704673767,0.9572271704673767,1,1,0,1,"Skipped"
"[[one]] of the smartest takes on singles culture i 've seen in a long [[time]] . ","[[two]] of the smartest takes on singles culture i 've seen in a long [[while]] . ",0.00012958049774169922,0.0005350708961486816,1,1,1,11,"Failed"
"moody , heartbreaking , and filmed in a [[natural]] , unforced style that makes its characters seem [[entirely]] convincing [[even]] when its script is not . ","moody , heartbreaking , and filmed in a [[serious]] , unforced style that makes its characters seem [[utterly]] convincing [[yet]] when its script is not . ",0.002978503704071045,0.12740856409072876,1,1,1,72,"Failed"
"every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ","every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ",0.9771565198898315,0.9771565198898315,1,1,0,1,"Skipped"
"comes ... uncomfortably [[close]] to coasting in the treads of the bicycle thief . ","comes ... uncomfortably [[sensitive]] to coasting in the treads of the bicycle thief . ",0.083065927028656,0.9985880255699158,0,1,0,35,"Successful"
"[[warm]] water under a red bridge is a [[quirky]] and poignant japanese film that explores the [[fascinating]] [[connections]] between women , water , nature , and sexuality . ","[[cold]] water under a red bridge is a [[popular]] and poignant japanese film that explores the [[close]] [[relationship]] between women , water , nature , and sexuality . ",1.704692840576172e-05,0.028968751430511475,1,1,1,91,"Failed"
"it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ","it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ",0.9776958227157593,0.9776958227157593,1,1,0,1,"Skipped"
"old-form moviemaking at its best . ","old-form moviemaking at its best . ",0.9559710025787354,0.9559710025787354,0,0,1,1,"Skipped"
"[[turns]] potentially forgettable formula into something strangely [[diverting]] . ","[[something]] potentially forgettable formula into something strangely [[soothing]] . ",0.005721449851989746,0.8084444999694824,1,0,1,38,"Successful"
"( lawrence bounces ) all over the stage , [[dancing]] , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( lawrence bounces ) all over the stage , [[performing]] , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",0.2158028483390808,0.8859416842460632,1,0,1,18,"Successful"
